"","LSEC","EPCAM+ cells and cholangiocytes","NK,NKT and T cells","Hepatocytes","B cells","Stellate cells and myofibroblasts"
"X0",0.00984037185850188,0.0647581600336231,0.0995210526410249,0.821491884063239,0.00100230917463741,0.00338622222897382
"X1",0.544510401978484,0.000580071128445794,0.386857685705685,5.19291875466429e-05,0.0603807280450784,0.00761918395476081
"X2",0.0166394123624343,0.131132481572198,0.0984951662033078,0.741413292958646,0.00123855115076236,0.0110810957526517
"X3",0.0261266226466452,0.341809241079147,0.0147008065547145,0.585219598394436,0.00466590101300203,0.0274778303120556
"X4",0.0912903175435299,0.0176982225080508,0.478700397302777,0.0978786464867571,0.310911072378082,0.00352134378080353
"X5",0.105258390988652,0.0131963129222323,0.795728036403181,0.0617062404590047,0.0185793298317053,0.00553168939522491
"X6",0.199413004929366,0.424415885656109,0.0275225892814924,0.195156283975556,0.122031025890971,0.0314612102665057
"X7",0.730652137532012,9.2116902571681e-05,0.228548853968264,2.04015018824984e-08,0.0162872771194546,0.0244195940761962
"X8",0.297816216772412,0.00217282310097971,0.158449660721083,3.46336035747733e-06,0.494869655448166,0.0466881805970016
"X9",0.0237784973116246,0.0468831369358085,0.316540185431652,0.392736477321878,0.212938135521821,0.00712356747721658
"X10",0.21958771321948,0.0717975460692787,0.35809193898407,0.279846128723683,0.0236021213211458,0.0470745516823415
"X11",0.0231497942009513,0.0013899047844066,0.383837968206784,6.54201957756672e-07,0.589342127528024,0.00227955107787704
"X12",0.0438477127596061,0.0408030019003606,0.667993295072669,0.225248963505747,0.0129450904947709,0.00916193626684627
"X13",0.0233640109804706,0.0479303922136338,0.215436800908043,0.689437927947466,0.0165961650312347,0.00723470291915261
"X14",0.0352425247004739,0.0818865579762589,0.134836344944533,0.727833333323055,0.00513763577304362,0.0150636032826357
"X15",0.240288368620376,0.258162643049893,0.138100822424724,0.320353090878999,0.00478075525916147,0.0383143197668454
"X16",0.00866077321481349,0.213723778881939,0.0157391791458765,0.743296209916102,0.00236129885964758,0.0162187599816213
"X17",0.036019301074805,0.0853330069717682,0.170780411695286,0.692144250187771,0.00136293425576648,0.0143600958146038
"X18",0.0487980844480389,0.751953493296158,0.0209549412581732,0.127446940571009,0.00588604644797387,0.0449604939786469
"X19",0.0100955415809738,0.103618051840768,0.075016151094746,0.806756634867157,0.00073362667254366,0.00377999394381111
"X20",0.0788237737226947,0.573890079356334,0.240272704096977,0.0620530329262941,0.015316150657644,0.0296442592400567
"X21",0.334467931116481,0.250266851278591,0.216981031009386,0.0660940019570006,0.0973822991185517,0.0348078855199899
"X22",0.0112360683977421,0.0647517854680667,0.294076384283925,0.611071460656312,0.00772227174383503,0.0111420294501187
"X23",0.0117897314785217,0.0465210853756767,0.385317603601365,0.512706241103097,0.0067668630438281,0.0368984753975111
"X24",0.0313177562680451,0.476271268338068,0.396274478567178,0.00835723815130395,0.0678592568130382,0.0199200018623666
"X25",0.0624827031727331,0.522949368574352,0.329465278108938,0.00833476938977833,0.0501555854660046,0.0266122952881942
"X26",0.547930873236936,0.355857959289884,0.0449712391200783,0.00115646236512274,0.00412164751247066,0.0459618184755084
"X27",0.0141210133202278,0.0251306076995,0.532892063453007,0.404837551812162,0.00537615328211066,0.0176426104329925
"X28",0.181713662617517,0.0187882840009414,0.705724608644036,0.0249414906931177,0.0320934358950321,0.0367385181493564
"X29",0.0238249084123218,0.429315725755722,0.0099148665598753,0.516606239354899,0.00575797661292312,0.0145802833042581
"X30",0.0769524643563415,0.0119558792924484,0.631016647642591,0.113895092470679,0.161113047273759,0.00506686896418137
"X31",0.011612245287157,0.00242417743246765,0.955816359177816,2.13959535820265e-06,0.0290015474968927,0.00114353101030871
"X32",0.0178129794576347,0.62688817104806,0.292988829356603,0.00443410065075631,0.0467656527262691,0.0111102667606773
"X33",0.0187687854918312,0.0465026553102311,0.375605030345842,0.55021203437179,0.00297442378888049,0.00593707069142534
"X34",0.0238216021518659,0.0648391820558554,0.356350210231167,0.527611322129104,0.0182887022867565,0.00908898114525104
"X35",0.431897759642829,0.000824898984359013,0.531602791894588,1.45428013133571e-08,0.0196712455420846,0.0160032893933377
"X36",0.217069334741385,0.0410248662842426,0.451977838388148,0.266224030438587,0.00533178511940139,0.0183721450282357
"X37",0.0570521310922808,0.00211829670824525,0.916337135584488,3.69926466618438e-05,0.0229289537923195,0.00152649017600425
"X38",0.389110194500568,0.00747089754523169,0.217526421213101,0.336757349162827,0.0220784318488135,0.0270567057294594
"X39",0.475203767261317,2.93310566542628e-05,0.426488087247566,1.09280781784165e-08,0.00602234317093192,0.0922564603354525
"X40",0.240539833432596,0.0443304189436217,0.00789267005130689,0.641925136485609,0.0168536760097323,0.0484582650771346
"X41",0.0938987761488627,5.55087136958933e-06,0.884506102631507,2.22630928407831e-10,0.021425869542179,0.000163700583450472
"X42",0.0343149331266841,0.842262758596943,0.0161321037684018,0.0483315461951906,0.00080856872509453,0.0581500895876854
"X43",0.191936110569516,0.172444902407862,0.0960742825810132,0.519322498182235,0.00310630644015739,0.0171158998192173
"X44",0.0610007341742638,0.465284646877337,0.0864056643077254,0.362669279555532,0.00600414275103697,0.018635532334104
"X45",0.00801030119971312,0.0671404015872287,0.251961081453973,0.666251061113381,0.00168278594248796,0.0049543687032164
"X46",0.00920464604533175,0.0321116888231434,0.234649023469865,0.717724398322275,0.00173547165529175,0.00457477168409279
"X47",0.00605305317268776,0.0464801285123458,0.234453123447213,0.692189409850794,0.00965391982450394,0.0111703651924547
"X48",0.060547133716546,0.219678466936901,0.135051020371721,0.559884285367446,0.00564617107588387,0.0191929225315018
"X49",0.0358026026848484,0.309885056673695,0.215467726408193,0.251795308169509,0.171120353048522,0.0159289530152323
"X50",0.0489725493771613,0.0272161843191545,0.692018035766256,0.170032248886469,0.0538278367618795,0.00793314488907901
"X51",0.135033086366493,0.398739916321058,0.231010581280512,0.137646937324854,0.0370516858205407,0.0605177928865431
"X52",0.0899450674088504,0.432091572055824,0.41377467654876,0.0173742701766481,0.0353705484660243,0.0114438653438937
"X53",0.236670815780169,0.13804316008678,0.0193193038315663,0.564270709874403,0.0233571425640017,0.0183388678630801
"X54",0.0142563268415757,0.0762033178241958,0.0138608367498922,0.570348199920332,0.315738679175066,0.00959263948893867
"X55",0.00911432931325761,0.117704643249838,0.0437766662791435,0.823830746957052,0.000677972563451671,0.00489564163725711
"X56",0.029802596240827,0.265339712843975,0.0257226030321187,0.656013262011957,0.0103715016575788,0.0127503242135433
"X57",0.151315605090802,0.393586530432394,0.134103939314213,0.284148117762398,0.000521141283208751,0.0363246661169847
"X58",0.0558361482185217,0.0127208388682139,0.317631791108429,0.127776197815216,0.471884898822864,0.0141501251667555
"X59",0.427070647986674,0.0562357915211469,0.47397102914649,2.78513273067625e-05,0.0193308505843921,0.0233638294339905
"X60",0.0387286187794652,0.289472798568644,0.0631819276855198,0.589359416066447,0.00650407419731572,0.0127531647026079
"X61",0.0181107831893419,0.0365862228706743,0.108137934733043,0.828565838003392,0.00193485127411188,0.00666436992943724
"X62",0.0453314865085516,0.0931693408530817,0.444272825308424,0.403718498527004,0.00417627846135169,0.00933157034158701
"X63",0.259802326486868,0.00355193279030143,0.291902634189243,0.0217346319086438,0.0324023404145842,0.39060613421036
"X64",0.0339707051087901,0.341347363410175,0.138951947193663,0.429652243015736,0.0313582289450554,0.0247195123265806
"X65",0.111178024080932,0.326956107624103,0.11379887414057,0.402124327093229,0.00669167085060564,0.0392509962105595
"X66",0.0532532685691411,0.717920214016632,0.185567565590922,0.0139974620124923,0.0122999340500403,0.0169615557607725
"X67",0.335481614202342,0.00241082265090456,0.642927932910898,9.10405889897429e-08,0.0115574812868749,0.00762205790839203
"X68",0.0121437726167733,0.2143546117651,0.00731614381598498,0.748947215777956,0.0067716501844437,0.0104666058397412
"X69",0.602559660607197,0.0158886497241102,0.118218634364461,0.185556566645579,0.0197733986528745,0.0580030900057787
"X70",0.00157887802121354,0.0152544092576713,0.474036988673289,0.488773732300903,0.00788042942552668,0.0124755623213963
"X71",0.0732590057479015,0.0596456849370749,0.31349923511674,0.527243606173861,0.0152231960964677,0.0111292719279553
"X72",0.019812455297315,0.633674929108475,0.122852144750225,0.21737080864857,0.000274035658210013,0.00601562653720476
"X73",0.0282141020521435,0.584878927051185,0.332371431778108,0.00835537473929364,0.00464647481837269,0.0415336895608974
"X74",0.0811119968810052,0.344345684172318,0.017075656249276,0.536211970754674,0.00406192424800692,0.01719276769472
"X75",0.276649741445573,0.0614587038531906,0.0156677234858614,0.625488502657118,0.00638615029011348,0.0143491782681431
"X76",0.0159938108763564,0.0441872609605878,0.00844611599485529,0.698219010595569,0.000629011841783713,0.232524789730848
"X77",0.050040592600376,0.629707513288602,0.0940947009020265,0.188012644150308,0.00440761685829212,0.0337369322003961
"X78",0.0648698401102058,0.0055614745581702,0.86999469887389,7.5942306425948e-05,0.0537767212807282,0.00572132287057978
"X79",0.289738708554739,0.0254140353573769,0.443471244139524,0.163252906976873,0.059988049051405,0.0181350559200818
"X80",0.0267926002525884,0.0621693392123569,0.126233107307604,0.419954830457171,0.351906397212478,0.0129437255578015
"X81",0.0715933212765557,0.418895149051442,0.0125344682053934,0.456164034446823,0.00753134614122642,0.0332816808785593
"X82",0.373550614293985,0.0488077530519065,0.361136894550319,0.133493977496415,0.0261589429009358,0.0568518177064395
"X83",0.295941552716207,0.267317516087488,0.0171458714438356,0.181468202411723,0.18639039579979,0.0517364615409561
"X84",0.0875287292889142,0.171433591260767,0.3020944489395,0.39645063071325,0.027842551197573,0.014650048599996
"X85",0.00956897882858783,0.0731860054631976,0.0880926775062104,0.819443686538679,0.00196357290347116,0.00774507875985381
"X86",0.0522157604686726,0.0765755909971215,0.328447931682206,0.522515484829702,0.0110289133320781,0.00921631869021983
"X87",0.0504616802142876,0.0711208994234111,0.0129571298788672,0.847859730312314,0.00363035273060585,0.0139702074405143
"X88",0.057990502033595,0.0884415556357748,0.223588614827013,0.59958384263777,0.0124733487259879,0.0179221361398596
"X89",0.262699508191493,0.0870878098447187,0.0658832641978421,0.514390530431507,0.021106211373762,0.048832675960677
"X90",0.392771595229534,0.432508994256417,0.0292034604482373,0.0585516794271052,0.0388337173372557,0.0481305533014504
"X91",0.110683686741711,0.0339098366400671,0.449711331517312,0.349753811042291,0.0287922319153,0.027149102143319
"X92",0.222307835485846,0.0126603386539821,0.582054013197918,0.163581148352513,0.00801821218003853,0.0113784521297021
"X93",0.160230727188106,0.087233938099035,0.340744483765572,0.386685105589018,0.00971617319937027,0.0153895721588995
"X94",0.0547874728379165,0.106831257276941,0.238040742965123,0.585517607497094,0.00393691699693568,0.0108860024259888
"X95",0.134595613079155,0.521492200138099,0.0273117422464984,0.269984236445459,0.0235816472280314,0.0230345608627568
"X96",0.0414105166332887,0.0617413372333345,0.500021003152614,0.369355267761189,0.0178721592312971,0.00959971598827662
"X97",0.0030346481734338,0.0964833436764978,0.22051594251204,0.674071742696967,0.000363252135323593,0.00553107080573752
"X98",0.0766967462515781,0.445916995671007,0.389774096408391,0.0128812518320956,0.0123899297115207,0.0623409801254079
"X99",0.0138323871835487,0.370884695217315,0.135176100561821,0.000423167546981151,0.467086904480084,0.0125967450102503
"X100",0.0169357067171075,0.149298207017505,0.0227421724947368,0.798717367353593,0.00493949980120884,0.00736704661584907
"X101",0.142988272578355,0.0453405172250822,0.650289209507177,0.109058320209409,0.0166619327105269,0.0356617477694502
"X102",0.059019848961887,0.504035370988699,0.092678724681574,0.297281897636424,0.0260332605111824,0.0209508972202337
"X103",0.0867094319931227,0.231317436485327,0.118640352363765,0.536785372874622,0.00664894582959821,0.0198984604535649
"X104",0.194038884590311,0.0477303244755061,0.378245670616257,0.359780438925193,0.00662856476416997,0.0135761166285628
"X105",0.00770355375656407,0.0560540664537894,0.214021393395097,0.707281988130163,0.00112446097694561,0.0138145372874409
"X106",0.0655085018142755,0.309619199342552,0.574016919815598,0.0416967657379718,0.00482529083936068,0.00433332245024139
"X107",0.0383645336883146,0.436194064208724,0.00396901752521011,0.505695752490766,0.00240657499328085,0.0133700570937042
"X108",0.21832862728441,0.331899947169457,0.169561070107061,0.239824628583027,0.0228552190263781,0.017530507829668
"X109",0.0761454004959656,0.698454626119126,0.0212930290495673,0.193737707479304,0.00457938456533883,0.005789852290698
"X110",0.0361276519158556,0.323874195659851,0.168131144970757,0.439490206036894,0.0105749371824838,0.0218018642341583
"X111",0.717085891210597,0.000844812053275643,0.0106798767817499,0.0380256307117236,0.17630140982553,0.0570623794171245
"X112",0.087105917190167,0.26140934565861,0.588388054252721,0.0446141215464662,0.0154997529729618,0.00298280837907458
"X113",0.20504287588352,0.247554459886715,0.0031249214349087,0.522460174234299,0.00796869684938145,0.0138488717111759
"X114",0.135115683961537,0.0310422001104943,0.705603745963268,0.0948516118653491,0.0138075978961768,0.0195791602031748
"X115",0.0117439775359151,0.524426932671121,0.349178625259279,0.0921570662575455,0.0128124728538517,0.00968092542228746
"X116",0.0193020395389469,0.206932866151722,0.0573992847120908,0.70623398521427,0.0013987866768398,0.00873303770613019
"X117",0.0276712856489462,0.499719021795963,0.349650465431286,0.083480580746994,0.00554971663672919,0.0339289297400814
"X118",0.0195674210810482,0.0949886394374895,0.310317400052338,0.551489115729006,0.0128049202009207,0.0108325034991976
