"","B cells","EPCAM+ cells and cholangiocytes","Hepatocytes","LSEC","NK,NKT and T cells","Stellate cells and myofibroblasts"
"X0",9.01799559337755e-05,0.024302789639578,0.813009593608327,0.0151934321996399,0.147313824641068,9.01799554535971e-05
"X1",0.000157910498224887,0.00015791048585765,0.000157910485943642,0.547923412973185,0.451444945070883,0.000157910485906192
"X2",0.000160110262525967,0.150631642525903,0.739855016970493,0.0121040238078415,0.0866321647565393,0.0106170416766975
"X3",9.7577160304639e-05,0.396206040651019,0.599773125912885,9.75771596850258e-05,0.00064478571205768,0.00318089340404866
"X4",0.546886291043329,0.000338525856061779,0.0972409890625927,0.0413928452487532,0.313802822933175,0.000338525856088431
"X5",0.00346378961824092,0.0389162906417667,0.156067029269158,0.0245214260058018,0.776897349847287,0.000134114617745327
"X6",0.185776373718425,0.438769011453699,0.214700615271575,0.155531285428548,0.000679981068109114,0.00454273305964432
"X7",0.00015630212637373,0.000156302119082475,0.000156302153846046,0.853514650087518,0.145860141394097,0.0001563021190825
"X8",0.580406491612942,0.00048642465427903,0.000486424654441822,0.281523701910662,0.119702811311326,0.0173941458563501
"X9",0.362075704981967,0.00629846545512788,0.41128171419816,0.000321256994706753,0.219701601375267,0.000321256994771524
"X10",0.000285857980327456,0.0159992442812619,0.363796907832062,0.330308760326662,0.289317343166473,0.000291886413213816
"X11",0.658504805333069,0.0045393361854167,0.000305420731497565,0.0003054207322798,0.33584464607358,0.000500370944157218
"X12",0.000204580828742198,0.0150597655079734,0.351367441033424,0.0788742914883214,0.539291862407516,0.0152020587340233
"X13",9.14317279929483e-05,0.0265043009893763,0.772682364253842,9.14317234197659e-05,0.199402878395059,0.00122759291031076
"X14",9.58251341185666e-05,0.00981763945052215,0.753227234748257,0.0788664750105457,0.152253611664627,0.00573921399192938
"X15",0.000184804310838957,0.240524121736167,0.396788994144843,0.258839384699718,0.0970232129091099,0.00663948219932386
"X16",9.57920411043665e-05,0.226453818185018,0.765011724205344,9.57920363876236e-05,9.57920363928337e-05,0.00824708149575259
"X17",9.21773786247734e-05,0.0245556573451197,0.765118885146796,9.21773914823993e-05,0.210048925346495,9.21773914824002e-05
"X18",0.0001506617630665,0.872125265481198,0.10596601946992,0.00017963886973967,0.00275641511673113,0.018821999299344
"X19",9.12343963826053e-05,0.0319927495354736,0.860722355073071,9.12344088474885e-05,0.107011192178005,9.12344082201274e-05
"X20",0.000204726554038517,0.705945730314023,0.00457139499759906,0.055401216361304,0.204331251399745,0.0295456803732905
"X21",0.000432424313166975,0.308669962861057,0.130526174012593,0.390989905117149,0.168949109393274,0.000432424302760162
"X22",0.00479102962206226,0.016584561912915,0.660015382071348,0.000135672064719789,0.318337682264235,0.000135672064719785
"X23",0.000147446719660058,0.0457389117502435,0.620856832279778,0.000147446711224537,0.33296191582787,0.000147446711224538
"X24",0.000168428175309027,0.531351188228632,0.000168428175035726,0.000168428175035726,0.459518567097837,0.00862496014815096
"X25",0.000246745228313483,0.551130545097132,0.000246745227701132,0.0809660087904692,0.338616185492249,0.0287937701641351
"X26",0.000368300236854018,0.366458519880009,0.00036830023689049,0.59434819911553,0.0235476238749756,0.014909056655741
"X27",0.000299911363631929,0.0492039473481096,0.461869534096539,0.000299911385424899,0.472477527038811,0.0158491687674835
"X28",0.000147531693796547,0.0356222793512292,0.0229353596932127,0.196944733931167,0.709149793691209,0.035200301639385
"X29",0.000139998757203336,0.386278422369796,0.578290235142089,0.0225166474954545,0.00819904116915671,0.00457565506630067
"X30",0.00167041236032663,0.0292022038467677,0.188917656366044,0.000259474400805584,0.77969077862525,0.000259474400805585
"X31",0.00380904607431884,0.000106527585253498,0.000106527585398733,0.000106527585252099,0.992384004451742,0.00348736671803494
"X32",0.000240180636505685,0.707151959017805,0.000240180652103113,0.000240180652115129,0.289559060519412,0.00256843852205909
"X33",8.74072396038487e-05,0.0370246384569195,0.618106018484459,8.74072434386065e-05,0.34460712133214,8.7407243438605e-05
"X34",8.97637915566429e-05,0.046597518510753,0.644703538498602,0.0168781877049334,0.277170743386085,0.01456024810807
"X35",0.000142519698107435,0.000142519698561828,0.000142519698314435,0.581900495465013,0.417529425741441,0.000142519698561828
"X36",0.00493009852802786,0.000272825453625852,0.369269268218053,0.234708853922649,0.384117908154174,0.00670104572347144
"X37",0.000108888294529957,0.000108888288970865,0.00010888828892047,0.000108888288970861,0.999455558549637,0.000108888288970837
"X38",0.000276358553340866,0.0253730612859942,0.378345188434796,0.395681367693175,0.20004766547951,0.000276358553184838
"X39",0.000323318766132373,0.00032331876941282,0.000323318769386241,0.602797588769108,0.374405420487339,0.021827034438622
"X40",0.000143184026502854,0.015008731773678,0.72456263088927,0.245182178850508,0.000143184026577914,0.0149600904334632
"X41",0.0112630038432307,0.000167888149303085,0.000167888149577486,0.0879116310911726,0.900321700617413,0.000167888149303105
"X42",0.000253782306346639,0.861605946414576,0.000253782316877525,0.001003879468438,0.0887620447586128,0.0481205647351487
"X43",0.000137097956862229,0.109021696473704,0.5754809911631,0.199499704200343,0.11572341226889,0.000137097937101383
"X44",0.000204438194230449,0.407324828715161,0.468165168324141,0.00447520867891753,0.119625917880141,0.000204438207408799
"X45",9.04653275654004e-05,0.0291320231994603,0.766484718014819,9.04653430301772e-05,0.204111862772102,9.04653430230995e-05
"X46",0.000134765642181038,0.0463362797389273,0.701167774208603,0.00119635795746287,0.251030056810478,0.000134765642348011
"X47",0.000131208395131013,0.0384262925157026,0.659802975683575,0.0010271599452278,0.300481155065342,0.000131208395021728
"X48",0.000567598118031033,0.149269422942945,0.580955468473798,0.0862579824338792,0.172425459312804,0.0105240687185432
"X49",0.335172603290273,0.249734857418376,0.234239091636364,0.00807664394324593,0.172067474745703,0.000709328966037666
"X50",0.00570001784342502,0.000226319485750226,0.305653236656554,0.000226319485750223,0.674025787172494,0.0141683193560271
