"","B cells","EPCAM+ cells and cholangiocytes","Hepatocytes","LSEC","NK,NKT and T cells","Stellate cells and myofibroblasts"
"X0",0.166064231918164,0.106538509562276,0.490538387982918,0.0423671921034059,0.161253441886996,0.0332382365462393
"X1",0.225986095265435,0.0648421007029238,0.0469306905096985,0.290242602116207,0.281700394195135,0.0902981172106012
"X2",0.305059536579762,0.153089689036638,0.360818981932902,0.0374126461298341,0.0760453645278837,0.0675737817929793
"X3",0.154255582213109,0.310061514360375,0.38611754989126,0.0407791474510794,0.0219951899211265,0.0867910161630507
"X4",0.484003537276957,0.0634074549817959,0.116905180753072,0.0596875434742619,0.246954184737685,0.0290420987762284
"X5",0.228162024192948,0.0697612155668403,0.143233066435017,0.0216593706964489,0.449008675696439,0.0881756474123072
"X6",0.273727830887591,0.317745622009838,0.191834253962443,0.11579830441752,0.032215239095395,0.0686787496272134
"X7",0.240801342629073,0.0261797381213117,0.0439959929957917,0.389253127521819,0.179114349550114,0.12065544918189
"X8",0.492248252794046,0.0823838322223864,0.0198853427812312,0.184267391122855,0.109110716138457,0.112104464941025
"X9",0.401460088868162,0.0701925011067712,0.265641511633716,0.033651811950707,0.192729102351054,0.0363249840895895
"X10",0.193558656347171,0.0873193062987894,0.2359931208918,0.167110025030363,0.224439999763221,0.0915788916686552
"X11",0.609418774328313,0.0590128672098057,0.0282740854843428,0.0404617108176177,0.231233962771535,0.0315985993883854
"X12",0.261474049109483,0.0528985927383268,0.219117356633012,0.0861267093354439,0.320542427526904,0.0598408646568301
"X13",0.16049613589968,0.0956488863692375,0.446806790327081,0.0282312890506109,0.206464991849563,0.0623519065038268
"X14",0.178434034077376,0.10558822017009,0.404795743374386,0.0844179017323949,0.154381101256161,0.0723829993895915
"X15",0.171678699578838,0.231058311233778,0.258637076140546,0.17705834668062,0.0856241635247837,0.0759434028414344
"X16",0.133005225205319,0.241998319600393,0.470310578952513,0.0429006683779158,0.0291396652067879,0.082645542657071
"X17",0.174928947321422,0.0916561175954604,0.435996951967247,0.0188394887726566,0.234103109877155,0.0444753844660582
"X18",0.140767426569069,0.48921169985546,0.198452840779899,0.0539744877923882,0.0264436114856611,0.0911499335175221
"X19",0.15627313357375,0.131050256622753,0.512728500619114,0.0257571109308719,0.129307091157934,0.0448839070955773
"X20",0.229096398182066,0.318664816359324,0.136707009109969,0.0860055752328219,0.147885257080203,0.0816409440356163
"X21",0.199169087187087,0.267946415878055,0.160632354943095,0.19925854356321,0.110192550708514,0.0628010477200405
"X22",0.207873685437522,0.0896498527124531,0.393181322837215,0.0297189357274295,0.220894950151167,0.0586812531342131
