"","cell_ID","LSEC","EPCAM+ cells and cholangiocytes","NK,NKT and T cells","Hepatocytes","B cells","Stellate cells and myofibroblasts"
"1","X0",0,0.0742844519474992,0.0843862881263602,0.841329259926141,0,0
"2","X1",0.674326840853133,0,0.325673159146867,0,0,0
"3","X2",0,0.114366991657699,0.0685681721323288,0.817064836209972,0,0
"4","X3",0,0.361438736958164,0,0.638561263041836,0,0
"5","X4",0,0,0.297536178803808,0.128976943185011,0.573486878011181,0
"6","X5",0,0.0521220285515857,0.792549560435986,0.155328411012429,0,0
"7","X6",0.114713821093312,0.420554571512256,0,0.169794854654778,0.294936752739654,0
"8","X7",1,0,0,0,0,0
"9","X8",0.223114288691585,0,0.0676510811321522,0,0.709234630176263,0
"10","X9",0,0,0.107191914689574,0.464310256708842,0.428497828601584,0
"11","X10",0.26799663258765,0,0.322076762288943,0.409926605123407,0,0
"12","X11",0,0,0.173883903809525,0,0.826116096190475,0
"13","X12",0.0695245547113968,0.0509143851505361,0.510156012005171,0.369405048132896,0,0
"14","X13",0,0,0.141901464905646,0.858098535094354,0,0
"15","X14",0,0,0.154887828289816,0.845112171710184,0,0
"16","X15",0.203795130406787,0.280889174312339,0.0751419560190409,0.440173739261833,0,0
"17","X16",0,0.195807583241063,0,0.804192416758936,0,0
"18","X17",0,0,0.12686720987509,0.87313279012491,0,0
"19","X18",0,0.955100303759192,0,0.0448996962408085,0,0
"20","X19",0,0,0,1,0,0
"21","X20",0,0.829771807900267,0.170228192099732,0,0,0
"22","X21",0.347662547042669,0.422606135157866,0.140629204612151,0.0891021131873134,0,0
"23","X22",0,0,0.251025735385819,0.748974264614181,0,0
"24","X23",0,0.0788724684890797,0.209899149152594,0.711228382358326,0,0
"25","X24",0,0.683219622608886,0.316780377391114,0,0,0
"26","X25",0,0.668615140386604,0.331384859613396,0,0,0
"27","X26",0.501123903273916,0.498876096726084,0,0,0,0
"28","X27",0,0,0.453913467934811,0.546086532065189,0,0
"29","X28",0.183664037395468,0.0536063570270302,0.762729605577502,0,0,0
"30","X29",0,0.366845442634565,0,0.633154557365435,0,0
"31","X30",0,0.0645441362179708,0.773479627269265,0.161976236512764,0,0
"32","X31",0,0,1,0,0,0
"33","X32",0,0.829851219912147,0.170148780087853,0,0,0
"34","X33",0,0,0.259418580731774,0.740581419268226,0,0
"35","X34",0,0,0.261962350596896,0.738037649403104,0,0
"36","X35",0.614694347757523,0,0.385305652242477,0,0,0
"37","X36",0.229882384247056,0,0.336816493379165,0.433301122373778,0,0
"38","X37",0,0,1,0,0,0
"39","X38",0.383135406768194,0,0.157343822772302,0.459520770459504,0,0
"40","X39",0.709784970833063,0,0.290215029166937,0,0,0
"41","X40",0.184955538045331,0,0,0.815044461954669,0,0
"42","X41",0,0,0.964572606380599,0,0.0354273936194006,0
"43","X42",0,1,0,0,0,0
"44","X43",0.173594585935057,0.116508149979458,0.0815257578300672,0.628371506255418,0,0
